"Source:","/home/scott/src/tj-cluster/pcb/Circuit.kicad_sch"
"Date:","Tue 07 Jun 2022 08:41:56 AM CDT"
"Tool:","Eeschema 6.0.5-a6ca702e91~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","52"

"Individual Components:"

"18","1","OC1","Optocoupler_Generic","Optocoupler_AKL:Optocoupler_Generic","Package_DIP:DIP-4_W7.62mm","","","","","","","","","","",""
"19","2","R1, R4","60ohm","ccd_can_bridge-rescue:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","","","","","","","","","","",""
"20","2","R2, R10","10ohm","Device:R_Small","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","","","","","",""
"21","1","R3","10k","ccd_can_bridge-rescue:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","","","","","","","","","","",""
"22","2","R5, R7","13K","Device:R_Small","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","","","","","",""
"23","1","R6","120ohm","Device:R_Small","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","","","","","",""
"24","1","R8","1.5M","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~","","","","","","","","","",""
"25","1","R9","10M","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~","","","","","","","","","",""
"26","1","R11","100K","Device:R_Small","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~","","","","","","","","","",""
"27","1","R12","13K","Device:R_Small","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~","","","","","","","","","",""
"28","1","U1","MCP2561","ccd_can_bridge-rescue:MCP2561","MCP2561:DIP787W46P254L927H533Q8","MCP2561FD-E/P","Warning","","MCP2561 Series 5.5 V 8 Mbps High-Speed CAN Flexible Data Rate Transceiver -DIP-8","","","Microchip","","PDIP-8 Microchip","0.81 USD",""
"29","1","U2","CDP68HC68S1","ccd_can_bridge-rescue:CDP68HC68S1","CDP68HC68S1:CDP68HC68S1","","","","","","","","","","",""
"30","1","U3","LM2594HVM-5.0","Regulator_Switching:LM2594HVM-5.0","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/lm2594.pdf","","","","","","","","","",""
"31","1","U4","Teensy4.0","teensy:Teensy4.0","Teensy 4.0:Teensy40_NoSMT","","","","","","","","","","",""
